Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,5,2,-3.335524,"[2.8032754031413645, 1.843972751846209, 1.6663963685256833, -0.3975112025650355, 0.5946104653139727, 2.6456880315148887, 3.7954994230517456, -1.4448267903885765, -2.744374317940076, -2.131977418038501]","""1,769,0,305,1000,302,2,293,1001,162,2000,100,1002,43,3,38,2001,16,3000,9,4,7,1003,2,2002,2""",1000,1712.74,21786.26
Problem_5Sat3Gs_0_4.json,1.5,5,3,-3.597040,"[1.867886143137947, -1.9725707064291544, 1.6074084712524137, 0.4747068387333423, 0.508293495920989, 0.05593065639122944, 2.9079848749502415, -1.5286657206673067, 0.602748972523844, 2.3859502650423674]","""0,597,1,587,1000,340,2,270,1001,105,3,56,2000,47,1002,27,4,9,2001,5,2002,3,1003,1,5,1""",1000,2549.36,22622.88
Problem_5Sat3Gs_0_4.json,1.5,5,4,-3.521078,"[3.5847124536989363, 1.911543222580674, 2.5438274452461367, -0.36239346560097085, -2.1154162641618757, 5.874946410627538, 0.9531766206733726, -0.15552210698243138, 0.17394915782696826, 1.4282403026005637]","""0,587,1,567,1000,361,2,236,1001,133,2000,65,3,54,1002,26,2001,8,3000,5,1003,3,4,2,5,1""",1000,3379.96,23453.47
Problem_5Sat3Gs_0_4.json,1.5,5,5,-3.795066,"[3.9639433613482074, -1.5011207258340873, 3.804107451525727, -1.5903754535809558, -0.5427829976834321, 6.346842164893369, 3.876866875609558, 0.36692658125046235, -3.0892149723513587, 0.0014369017627404949]","""0,809,1,479,1000,366,2,164,1001,132,3,41,1002,27,2000,17,1003,7,2001,4,4,2""",1000,4210.90,24284.42
Problem_5Sat3Gs_0_4.json,1.5,5,6,-3.317966,"[-2.7785904285742546, 3.921693709181813, 4.191796753982864, 3.08292955287839, -1.7914087353375878, 0.5511371262285217, 9.840879234392634, 3.491582020021665, 2.53340012975605, 0.23456949272881827]","""1,524,0,423,1000,418,1001,266,2,221,1002,61,3,56,2000,46,2001,17,4,9,1003,6,5,1""",1000,5043.88,25117.39
Problem_5Sat3Gs_0_4.json,1.5,5,7,-3.376177,"[1.4896015672870713, 2.5950072942240285, 3.1169114927285144, 3.0930839513757173, -0.15006696750769305, -0.7250831316369875, 7.7514264067238265, 5.135458993088683, -3.174056869635795, 2.4781665788317047]","""0,553,1,450,1000,360,2,223,1001,215,2000,85,3,68,1002,46,2001,21,1003,11,4,9,3000,5,2002,2""",1000,5879.84,25953.35
Problem_5Sat3Gs_0_4.json,1.5,5,8,-3.683533,"[2.423974109126453, 0.09183491999996364, -0.9734513341437787, -1.3291519246929817, 3.0048556557030626, 6.221736643759276, -6.410047521029452, 4.615633704254344, 0.40314532976306194, 1.392799252878031]","""1,793,0,571,1000,247,2,196,1001,173,2000,20,3,18,1002,17,1003,4,4,3,3000,3,2001,2,2002,1""",1000,6715.96,26789.48
Problem_5Sat3Gs_0_4.json,1.5,5,9,-4.250319,"[1.717280190350147, -0.620435303634072, -0.605988389225415, 0.4447265065104109, -0.6935377622823746, 5.019935039766501, -5.473938371880499, -1.9456196352588226, -0.01679191957401919, 0.45978879616601165]","""0,1364,1,314,1000,231,2,63,1001,46,2000,21,3,4,1002,3,3000,1,5,1""",1000,7545.88,27619.40
Problem_5Sat3Gs_0_4.json,1.5,5,10,-3.718492,"[-0.700401886688527, 1.7087553239978315, -0.5407502286759374, -2.43339435584751, -0.8907727561801096, 5.7275972378917865, -5.908741035109634, 3.0210421120125326, 0.3739489497907665, 2.244492150723763]","""0,733,1,610,2,224,1000,224,1001,133,3,48,2000,38,1002,19,2001,9,4,6,3000,2,2002,1,1003,1""",1000,8389.82,28463.33
Problem_5Sat3Gs_0_4.json,1.5,6,1,-3.392547,"[-0.09649391713822034, 3.522127713696735, -3.479239883687968, -0.559043539829905, -2.043360066286777, 2.7754543421051387, 8.640316059184102, -3.8354793774861955, -1.1588115870094766, 1.3643597818827753, -2.139895241882718, -2.7757465386856026]","""1,614,0,496,2,292,1000,266,1001,109,3,98,2000,75,1002,44,4,25,2001,11,1003,9,2002,5,5,2,3000,2""",1000,1019.59,29482.92
Problem_5Sat3Gs_0_4.json,1.5,6,2,-3.569814,"[3.504994085785301, -0.12614835954945994, 0.7557757483657752, 2.4083877121522224, -2.9078062347154465, -2.665409922756313, 6.695899683655286, -5.794152124266558, -4.318342901059884, -0.894607845211689, 3.0707424176712848, 3.1278732507078035]","""0,645,1,616,1000,271,2,158,1001,141,3,133,2000,24,1002,21,1003,14,4,14,2001,6,5,5""",1000,1990.64,30453.98
Problem_5Sat3Gs_0_4.json,1.5,6,3,-2.438468,"[-1.9233533627138726, 1.057680433196285, 0.059998107290819995, 3.5971228728204636, 0.5099150196893316, -3.8366442254454034, 2.4145663459296127, -4.195531366771618, 0.8688840215464985, 0.5093057045778906, -3.606399389608333, 3.7566412886489156]","""2,598,3,458,1,344,1001,156,4,121,1002,119,1000,80,0,67,2001,37,1003,30,2000,20,2002,11,5,7""",1000,2956.09,31419.42
Problem_5Sat3Gs_0_4.json,1.5,6,4,-3.698109,"[1.7025672521197373, -1.1112846513581722, -2.476853661389454, -0.8141933607786922, 0.7848218366918414, 0.7022841537930178, 6.1924896278781425, -3.814229634234622, -3.8441284867821595, 0.755197682875288, 5.572518749898592, 1.3326931881743893]","""0,796,1,488,2,300,1000,183,3,86,1001,84,2000,53,1002,25,4,15,1003,6,5,5,2001,4,2002,3""",1000,3925.31,32388.64
